Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Maharashtra,319.76,34,Small,2022-03-12,7,Lassi,Raj,633.59,18.04,11429.9636,13,Refrigerated,2022-02-12,2022-02-25,148,21.91,3242.68,Kerala,Online,485,42.03,121.15
Delhi,104.68,59,Large,2019-01-11,2,Butter,Warana,414.67,26.89,11150.4763,36,Refrigerated,2019-01-10,2019-02-15,192,27.85,5347.2,Bihar,Retail,222,11.16,51.24
Tamil Nadu,347.2,82,Small,2022-02-18,8,Buttermilk,Raj,196.53,17.89,3515.9217000000003,7,Refrigerated,2022-01-28,2022-02-04,108,17.14,1851.12,Delhi,Retail,88,38.25,120.25
Rajasthan,583.66,89,Small,2019-10-19,1,Milk,Raj,50.66,40.37,2045.1441999999997,28,Tetra Pack,2019-08-20,2019-09-17,26,44.3,1151.8,West Bengal,Wholesale,24,99.87,109.93
Chandigarh,805.76,25,Small,2019-04-24,8,Buttermilk,Sudha,293.75,82.06,24105.125,9,Refrigerated,2019-03-15,2019-03-24,225,81.59,18357.75,Kerala,Wholesale,68,49.4,76.53
Kerala,915.36,85,Large,2019-10-25,10,Ghee,Sudha,254.17,56.21,14286.8957,71,Ambient,2019-09-17,2019-11-27,231,58.74,13568.94,Delhi,Online,23,52.58,159.67
Tamil Nadu,391.6,17,Small,2020-04-18,2,Butter,Parag Milk Foods,193.38,84.77,16392.8226,38,Frozen,2020-03-16,2020-04-23,33,80.2,2646.6,West Bengal,Wholesale,160,85.54,106.83
Delhi,777.29,60,Medium,2020-05-08,7,Lassi,Mother Dairy,329.38,15.8,5204.204,12,Refrigerated,2020-05-04,2020-05-16,107,16.18,1731.26,Delhi,Wholesale,222,87.91,188.22
Gujarat,449.91,44,Medium,2019-02-23,7,Lassi,Raj,333.76,16.79,5603.8304,17,Refrigerated,2019-01-08,2019-01-25,209,13.38,2796.42,Chandigarh,Online,124,75.69,138.25
Jharkhand,416.07,26,Medium,2019-11-08,5,Ice Cream,Mother Dairy,847.5,59.46,50392.35,26,Frozen,2019-10-22,2019-11-17,709,64.42,45673.78,Bihar,Online,138,23.69,120.34
Chandigarh,416.33,59,Medium,2021-06-07,1,Milk,Sudha,877.11,81.62,71589.7182,1,Polythene Packet,2021-04-29,2021-04-30,554,86.41,47871.14,Haryana,Retail,323,82.44,45.48
West Bengal,297.65,58,Small,2020-02-05,10,Ghee,Amul,700.58,71.43,50042.42940000001,88,Ambient,2019-12-11,2020-03-08,268,68.02,18229.36,Kerala,Retail,432,50.75,47.73
West Bengal,568.1,59,Small,2020-04-13,5,Ice Cream,Amul,239.71,54.04,12953.9284,24,Frozen,2020-02-17,2020-03-12,113,58.22,6578.86,Kerala,Wholesale,126,65.06,79.68
Chandigarh,935.45,72,Large,2021-07-26,3,Cheese,Passion Cheese,732.79,62.51,45806.7029,76,Refrigerated,2021-06-09,2021-08-24,156,64.03,9988.68,Delhi,Wholesale,576,55.17,176.46
Chandigarh,296.54,36,Small,2022-02-26,2,Butter,Warana,508.41,99.84,50759.65440000001,38,Refrigerated,2022-02-13,2022-03-23,78,100.28,7821.84,Rajasthan,Retail,430,23.65,100.87
Karnataka,443.03,23,Medium,2020-11-15,4,Yogurt,Amul,713.67,47.37,33806.5479,23,Frozen,2020-10-15,2020-11-07,429,49.76,21347.04,Bihar,Online,284,39.73,96.8
Karnataka,161.38,68,Small,2022-12-13,8,Buttermilk,Raj,119.54,67.13,8024.7202,10,Refrigerated,2022-11-19,2022-11-29,79,66.67,5266.93,Delhi,Wholesale,40,39.46,77.63
Karnataka,759.71,74,Medium,2019-08-27,5,Ice Cream,Palle2patnam,583.59,12.13,7078.9467,29,Frozen,2019-07-28,2019-08-26,552,7.62,4206.24,Karnataka,Online,31,95.24,66.82
Uttar Pradesh,193.53,83,Small,2021-11-22,10,Ghee,Raj,37.43,62.0,2320.66,108,Ambient,2021-10-24,2022-02-09,20,61.54,1230.8,Jharkhand,Wholesale,17,61.75,119.11
Maharashtra,926.92,44,Small,2020-03-19,2,Butter,Mother Dairy,71.21,62.24,4432.1104,33,Frozen,2020-02-25,2020-03-29,39,60.36,2354.04,Kerala,Online,32,96.68,181.81
Jharkhand,676.6,17,Small,2020-09-22,7,Lassi,Mother Dairy,760.9,17.59,13384.231,13,Refrigerated,2020-08-12,2020-08-25,399,14.75,5885.25,Telangana,Wholesale,361,39.79,32.04
Tamil Nadu,46.87,95,Medium,2022-03-27,6,Curd,Mother Dairy,623.85,58.4,36432.840000000004,6,Refrigerated,2022-01-28,2022-02-03,193,54.48,10514.64,Chandigarh,Wholesale,430,66.89,59.53
Gujarat,77.88,92,Small,2022-12-28,1,Milk,Mother Dairy,753.86,43.18,32551.6748,2,Polythene Packet,2022-11-12,2022-11-14,410,47.0,19270.0,Delhi,Online,343,95.98,171.13
Delhi,553.7,88,Small,2019-10-19,3,Cheese,Dynamix Dairies,456.3,45.89,20939.607,53,Refrigerated,2019-09-25,2019-11-17,68,45.9,3121.2,Haryana,Retail,388,84.21,156.12
Telangana,843.8,93,Medium,2020-08-03,8,Buttermilk,Raj,681.46,70.77,48226.9242,8,Refrigerated,2020-06-11,2020-06-19,193,68.22,13166.46,West Bengal,Wholesale,488,48.0,150.37
Bihar,392.07,19,Large,2020-06-05,7,Lassi,Mother Dairy,619.5,91.93,56950.635,14,Refrigerated,2020-04-13,2020-04-27,50,90.59,4529.5,Haryana,Wholesale,569,48.55,170.28
Maharashtra,123.86,79,Medium,2019-08-15,7,Lassi,Mother Dairy,626.94,71.73,44970.406200000005,13,Refrigerated,2019-07-11,2019-07-24,429,76.2,32689.8,Chandigarh,Wholesale,197,86.19,104.76
Delhi,930.73,27,Medium,2020-03-07,1,Milk,Amul,876.9,59.61,52272.009,22,Tetra Pack,2020-01-30,2020-02-21,807,63.46,51212.22,Karnataka,Retail,69,88.2,189.28
Jharkhand,398.23,21,Large,2020-09-23,5,Ice Cream,Dodla Dairy,249.85,97.12,24265.432,30,Frozen,2020-08-29,2020-09-28,21,99.58,2091.18,Delhi,Wholesale,228,45.45,64.74
Bihar,375.26,46,Small,2020-12-10,1,Milk,Raj,953.34,48.88,46599.2592,2,Polythene Packet,2020-11-23,2020-11-25,761,45.55,34663.55,Karnataka,Wholesale,192,11.41,193.05
Uttar Pradesh,648.3,95,Medium,2022-09-14,10,Ghee,Amul,227.19,30.5,6929.295,110,Ambient,2022-09-12,2022-12-31,204,34.92,7123.68,Gujarat,Retail,23,30.56,198.22
Tamil Nadu,484.39,19,Large,2020-03-16,6,Curd,Amul,696.09,63.33,44083.3797,5,Refrigerated,2020-02-18,2020-02-23,639,66.81,42691.59,Jharkhand,Retail,57,46.04,173.7
West Bengal,486.21,36,Large,2020-05-28,8,Buttermilk,Mother Dairy,374.13,74.86,28007.3718,13,Refrigerated,2020-05-15,2020-05-28,2,79.06,158.12,Delhi,Online,372,17.94,110.39
West Bengal,135.64,15,Small,2019-11-17,10,Ghee,Mother Dairy,728.85,92.75,67600.83750000001,100,Ambient,2019-09-18,2019-12-27,6,89.5,537.0,Madhya Pradesh,Retail,722,56.0,41.76
Uttar Pradesh,828.47,90,Medium,2019-03-10,7,Lassi,Raj,910.04,84.55,76943.882,15,Refrigerated,2019-02-23,2019-03-10,94,85.23,8011.62,Delhi,Online,816,12.18,42.99
Chandigarh,61.05,41,Medium,2019-01-11,4,Yogurt,Amul,832.48,86.44,71959.5712,22,Frozen,2019-01-05,2019-01-27,325,82.12,26689.0,Chandigarh,Retail,507,59.4,116.34
Bihar,188.5,41,Small,2021-06-28,5,Ice Cream,Dodla Dairy,720.34,43.67,31457.2478,24,Frozen,2021-05-11,2021-06-04,290,42.71,12385.9,Delhi,Online,430,20.77,87.33
Haryana,908.37,37,Small,2020-09-24,3,Cheese,Britannia Industries,32.05,85.81,2750.2104999999997,43,Frozen,2020-09-19,2020-11-01,7,81.82,572.74,Karnataka,Online,25,73.68,114.82
Kerala,184.23,77,Large,2020-06-07,7,Lassi,Amul,330.44,65.47,21633.9068,16,Refrigerated,2020-06-06,2020-06-22,118,68.25,8053.5,Delhi,Wholesale,212,34.62,62.84
Madhya Pradesh,685.61,34,Medium,2021-03-01,6,Curd,Sudha,538.58,32.78,17654.652400000003,5,Refrigerated,2021-01-02,2021-01-07,383,32.56,12470.48,Jharkhand,Wholesale,155,36.03,197.54
Uttar Pradesh,902.67,85,Medium,2022-03-20,5,Ice Cream,Mother Dairy,206.61,89.41,18473.0001,30,Frozen,2022-03-06,2022-04-05,103,87.99,9062.97,Karnataka,Retail,103,12.58,35.53
Kerala,779.1,35,Medium,2021-07-14,2,Butter,Amul,803.6,70.63,56758.268,39,Frozen,2021-06-30,2021-08-08,766,74.99,57442.34,Haryana,Wholesale,37,40.34,30.4
Chandigarh,150.78,27,Small,2019-05-21,7,Lassi,Sudha,690.41,34.21,23618.9261,16,Refrigerated,2019-05-07,2019-05-23,69,36.26,2501.94,Haryana,Wholesale,621,84.84,56.46
Uttar Pradesh,736.1,52,Medium,2021-04-27,8,Buttermilk,Amul,512.73,96.18,49314.3714,11,Refrigerated,2021-02-27,2021-03-10,392,92.12,36111.04,Haryana,Retail,120,67.28,155.07
Delhi,738.57,96,Medium,2019-03-10,8,Buttermilk,Raj,652.38,29.74,19401.781199999998,12,Refrigerated,2019-01-25,2019-02-06,404,25.14,10156.56,West Bengal,Retail,248,95.13,190.1
Maharashtra,561.93,74,Small,2022-10-12,4,Yogurt,Mother Dairy,511.56,16.17,8271.925200000001,30,Frozen,2022-08-21,2022-09-20,246,16.27,4002.42,Telangana,Wholesale,265,86.41,138.28
Delhi,776.07,94,Medium,2020-06-14,4,Yogurt,Dodla Dairy,852.59,11.74,10009.4066,30,Frozen,2020-04-28,2020-05-28,541,7.37,3987.17,Tamil Nadu,Online,311,39.05,71.59
West Bengal,355.29,18,Medium,2022-07-12,2,Butter,Mother Dairy,10.33,73.98,764.2134000000001,28,Refrigerated,2022-07-04,2022-08-01,2,71.09,142.18,West Bengal,Retail,8,56.35,198.35
Jharkhand,555.83,42,Medium,2020-08-26,2,Butter,Parag Milk Foods,456.83,68.73,31397.925900000002,26,Frozen,2020-07-16,2020-08-11,401,69.35,27809.35,Delhi,Online,55,73.92,179.06
Gujarat,695.23,17,Large,2021-11-25,5,Ice Cream,Palle2patnam,879.27,35.16,30915.133199999997,21,Frozen,2021-10-03,2021-10-24,608,36.24,22033.92,Kerala,Wholesale,271,29.11,87.33
Bihar,33.69,59,Medium,2022-11-01,2,Butter,Amul,54.92,35.56,1952.9552,30,Refrigerated,2022-10-18,2022-11-17,20,35.21,704.2,Telangana,Wholesale,34,24.68,26.35
Karnataka,673.66,56,Medium,2022-01-14,10,Ghee,Raj,729.25,20.89,15234.032500000001,77,Ambient,2021-12-06,2022-02-21,364,17.36,6319.04,Telangana,Retail,365,96.84,125.23
Bihar,914.95,17,Medium,2022-04-24,5,Ice Cream,Palle2patnam,273.15,72.1,19694.114999999998,24,Frozen,2022-03-23,2022-04-16,256,70.06,17935.36,Madhya Pradesh,Retail,17,25.32,33.04
Chandigarh,151.46,32,Small,2020-09-13,7,Lassi,Raj,445.63,48.49,21608.598700000002,15,Refrigerated,2020-07-15,2020-07-30,88,51.99,4575.12,West Bengal,Retail,357,69.11,60.64
Telangana,493.47,67,Medium,2019-09-09,4,Yogurt,Amul,617.41,66.26,40909.5866,23,Frozen,2019-07-11,2019-08-03,334,70.3,23480.2,Karnataka,Retail,283,27.28,154.94
Jharkhand,607.35,52,Large,2022-08-24,10,Ghee,Raj,425.81,13.58,5782.4998000000005,103,Ambient,2022-08-01,2022-11-12,181,13.49,2441.69,Jharkhand,Online,244,71.37,108.16
Maharashtra,625.01,75,Medium,2019-03-12,6,Curd,Mother Dairy,713.91,83.75,59789.962499999994,6,Refrigerated,2019-02-20,2019-02-26,532,79.57,42331.24,Bihar,Wholesale,181,94.07,191.62
Haryana,65.62,38,Large,2022-01-13,10,Ghee,Mother Dairy,519.36,76.19,39570.0384,93,Ambient,2022-01-03,2022-04-06,506,75.36,38132.16,West Bengal,Online,13,56.02,137.4
Karnataka,15.26,83,Large,2021-07-12,4,Yogurt,Mother Dairy,176.27,45.86,8083.742200000001,29,Frozen,2021-05-16,2021-06-14,175,47.63,8335.25,Haryana,Retail,1,59.82,95.64
Delhi,880.54,34,Large,2019-08-16,9,Paneer,Mother Dairy,47.68,36.92,1760.3456,12,Refrigerated,2019-08-03,2019-08-15,7,39.72,278.04,Maharashtra,Retail,40,25.38,25.82
Maharashtra,924.05,100,Medium,2022-05-09,10,Ghee,Raj,959.97,48.35,46414.5495,125,Ambient,2022-03-30,2022-08-02,610,46.05,28090.5,Gujarat,Online,349,82.11,22.35
Madhya Pradesh,479.98,77,Small,2022-10-21,4,Yogurt,Amul,40.92,76.33,3123.4236,23,Refrigerated,2022-08-25,2022-09-17,3,78.03,234.09,Delhi,Online,37,87.62,159.76
Kerala,881.94,12,Small,2019-01-24,10,Ghee,Mother Dairy,521.22,81.22,42333.4884,112,Ambient,2018-12-25,2019-04-16,387,86.17,33347.79,Kerala,Retail,134,35.02,92.98
Uttar Pradesh,762.18,56,Small,2020-09-15,8,Buttermilk,Amul,513.9,35.89,18443.871,8,Refrigerated,2020-08-27,2020-09-04,176,35.61,6267.36,Haryana,Retail,337,34.65,23.93
Bihar,735.84,62,Small,2020-11-01,4,Yogurt,Mother Dairy,275.3,29.94,8242.482,27,Frozen,2020-09-13,2020-10-10,175,25.67,4492.25,Madhya Pradesh,Online,100,31.4,32.15
Chandigarh,990.49,64,Large,2019-03-19,7,Lassi,Amul,936.0,74.09,69348.24,12,Refrigerated,2019-01-27,2019-02-08,612,76.51,46824.12,Chandigarh,Retail,324,10.36,124.3
Kerala,477.86,97,Small,2021-08-11,3,Cheese,Dynamix Dairies,37.03,12.83,475.0949,46,Frozen,2021-08-02,2021-09-17,1,12.54,12.54,Rajasthan,Online,36,20.14,22.4
Uttar Pradesh,290.77,38,Large,2021-01-06,2,Butter,Mother Dairy,226.35,45.24,10240.074,30,Refrigerated,2020-11-11,2020-12-11,18,49.91,898.38,Rajasthan,Retail,208,32.73,37.76
Uttar Pradesh,946.12,13,Medium,2022-09-03,3,Cheese,Passion Cheese,104.97,99.39,10432.9683,62,Refrigerated,2022-07-30,2022-09-30,45,100.66,4529.7,Haryana,Retail,59,69.39,165.2
Jharkhand,104.08,25,Large,2019-06-11,4,Yogurt,Amul,564.68,89.28,50414.630399999995,26,Refrigerated,2019-05-18,2019-06-13,428,91.11,38995.08,Delhi,Retail,136,65.67,197.39
Telangana,548.81,28,Small,2020-07-18,8,Buttermilk,Amul,3.46,34.69,120.02739999999999,9,Refrigerated,2020-07-01,2020-07-10,2,39.66,79.32,Rajasthan,Wholesale,1,56.65,138.76
Uttar Pradesh,154.41,48,Medium,2020-10-07,2,Butter,Mother Dairy,421.35,96.85,40807.7475,33,Frozen,2020-09-12,2020-10-15,37,99.69,3688.53,Gujarat,Retail,384,44.21,124.85
Chandigarh,196.02,57,Large,2021-03-15,6,Curd,Amul,379.21,49.71,18850.5291,7,Refrigerated,2021-02-14,2021-02-21,318,48.73,15496.14,Gujarat,Online,61,34.77,118.0
Karnataka,651.12,48,Large,2021-04-08,9,Paneer,Amul,422.35,21.22,8962.267,10,Refrigerated,2021-02-20,2021-03-02,248,18.03,4471.44,Jharkhand,Wholesale,174,29.27,145.63
Uttar Pradesh,790.68,94,Small,2022-04-13,7,Lassi,Sudha,984.69,55.76,54906.3144,16,Refrigerated,2022-03-16,2022-04-01,335,53.61,17959.35,Uttar Pradesh,Wholesale,649,47.16,77.21
Haryana,43.93,15,Large,2019-04-03,1,Milk,Sudha,158.72,44.96,7136.0512,24,Tetra Pack,2019-02-25,2019-03-21,5,43.09,215.45,Tamil Nadu,Retail,153,61.52,171.51
Delhi,855.37,17,Medium,2019-12-01,1,Milk,Mother Dairy,288.01,97.13,27974.411299999996,22,Tetra Pack,2019-10-07,2019-10-29,274,96.88,26545.12,Maharashtra,Online,14,76.68,90.87
Maharashtra,225.0,33,Large,2021-11-24,3,Cheese,Amul,466.35,51.17,23863.129500000003,90,Frozen,2021-10-22,2022-01-20,323,51.81,16734.63,Maharashtra,Retail,143,12.59,64.06
Karnataka,135.71,38,Medium,2020-06-06,2,Butter,Warana,873.36,98.65,86156.964,32,Refrigerated,2020-04-10,2020-05-12,558,103.2,57585.6,Rajasthan,Wholesale,315,31.47,61.31
Rajasthan,340.9,65,Small,2022-04-06,8,Buttermilk,Sudha,165.0,57.21,9439.65,10,Refrigerated,2022-02-26,2022-03-08,117,56.07,6560.19,Telangana,Retail,48,40.87,103.16
Delhi,138.91,59,Small,2022-05-14,5,Ice Cream,Palle2patnam,393.72,23.78,9362.661600000001,28,Frozen,2022-04-29,2022-05-27,263,28.34,7453.42,Madhya Pradesh,Retail,130,73.74,58.62
Telangana,207.06,15,Medium,2021-10-09,7,Lassi,Amul,571.79,22.05,12607.9695,17,Refrigerated,2021-09-17,2021-10-04,566,19.44,11003.04,Rajasthan,Retail,5,51.37,118.18
Jharkhand,776.91,20,Medium,2020-11-23,9,Paneer,Raj,617.64,91.81,56705.5284,14,Refrigerated,2020-10-24,2020-11-07,564,92.68,52271.52,Tamil Nadu,Wholesale,53,81.56,57.25
Uttar Pradesh,77.65,99,Large,2019-02-01,9,Paneer,Mother Dairy,343.07,85.1,29195.256999999998,9,Refrigerated,2018-12-21,2018-12-30,277,81.32,22525.64,Chandigarh,Wholesale,66,89.64,187.37
Karnataka,704.64,94,Large,2021-06-01,7,Lassi,Sudha,688.07,92.83,63873.538100000005,12,Refrigerated,2021-04-26,2021-05-08,184,92.22,16968.48,West Bengal,Wholesale,504,74.72,87.21
Karnataka,235.56,72,Small,2022-07-15,6,Curd,Mother Dairy,169.43,58.49,9909.960700000001,7,Refrigerated,2022-06-18,2022-06-25,17,54.89,933.13,Maharashtra,Online,152,40.7,160.0
Gujarat,201.96,67,Small,2020-02-01,3,Cheese,Dynamix Dairies,234.68,89.51,21006.206800000004,54,Frozen,2020-01-01,2020-02-24,142,92.07,13073.94,Telangana,Online,92,71.31,134.65
Haryana,587.13,70,Medium,2021-05-17,6,Curd,Raj,150.81,67.89,10238.4909,6,Refrigerated,2021-05-14,2021-05-20,8,66.22,529.76,Delhi,Retail,142,84.55,50.05
Bihar,465.45,32,Small,2020-01-20,4,Yogurt,Palle2patnam,715.52,81.52,58329.19039999999,30,Frozen,2019-12-28,2020-01-27,112,85.58,9584.96,Maharashtra,Online,603,36.17,78.61
Haryana,860.41,37,Medium,2021-06-27,5,Ice Cream,Amul,608.43,81.04,49307.167199999996,23,Frozen,2021-05-10,2021-06-02,112,85.04,9524.48,Madhya Pradesh,Retail,496,24.23,58.15
Karnataka,386.81,32,Large,2019-11-24,5,Ice Cream,Mother Dairy,94.97,58.45,5550.9965,22,Frozen,2019-09-28,2019-10-20,17,58.99,1002.83,Delhi,Retail,77,91.78,130.63
Maharashtra,179.64,89,Large,2021-03-27,4,Yogurt,Amul,260.87,72.07,18800.900899999997,25,Refrigerated,2021-03-07,2021-04-01,168,71.34,11985.12,Delhi,Retail,92,79.82,117.04
Chandigarh,632.45,64,Small,2020-07-21,8,Buttermilk,Sudha,907.78,58.85,53422.853,13,Refrigerated,2020-06-17,2020-06-30,115,58.52,6729.8,Chandigarh,Retail,792,75.31,59.09
Telangana,417.1,42,Large,2022-08-03,8,Buttermilk,Mother Dairy,184.78,89.12,16467.5936,14,Refrigerated,2022-07-24,2022-08-07,184,91.8,16891.2,Uttar Pradesh,Online,0,24.53,55.25
Telangana,682.26,51,Small,2020-06-10,5,Ice Cream,Mother Dairy,419.9,77.7,32626.23,29,Frozen,2020-05-17,2020-06-15,410,73.83,30270.3,Maharashtra,Wholesale,9,75.28,143.34
Delhi,953.59,62,Small,2022-04-23,9,Paneer,Raj,669.33,93.76,62756.380800000006,13,Refrigerated,2022-03-02,2022-03-15,57,97.8,5574.6,Jharkhand,Online,612,22.13,113.46
West Bengal,963.65,64,Large,2022-10-09,2,Butter,Parag Milk Foods,388.22,52.86,20521.3092,38,Frozen,2022-09-04,2022-10-12,181,55.55,10054.55,Uttar Pradesh,Retail,207,20.28,52.18
Jharkhand,428.43,95,Medium,2021-05-13,9,Paneer,Sudha,156.12,87.46,13654.2552,7,Refrigerated,2021-04-21,2021-04-28,48,91.04,4369.92,Maharashtra,Wholesale,108,74.33,91.46
Chandigarh,90.24,53,Large,2019-08-03,4,Yogurt,Palle2patnam,992.85,86.26,85643.24100000001,24,Refrigerated,2019-07-28,2019-08-21,284,81.69,23199.96,Chandigarh,Online,708,55.44,156.52
Delhi,661.96,97,Medium,2019-08-16,1,Milk,Amul,902.8,26.41,23842.948,2,Polythene Packet,2019-06-21,2019-06-23,399,25.8,10294.2,Uttar Pradesh,Retail,503,65.3,171.55
Haryana,980.16,39,Small,2020-01-25,4,Yogurt,Dodla Dairy,278.43,88.37,24604.8591,23,Refrigerated,2019-11-30,2019-12-23,200,93.03,18606.0,Jharkhand,Wholesale,78,83.59,130.99
Rajasthan,895.2,18,Small,2020-01-09,2,Butter,Parag Milk Foods,453.27,92.36,41864.017199999995,32,Frozen,2019-12-25,2020-01-26,398,90.64,36074.72,Kerala,Retail,55,66.45,154.99
Chandigarh,768.33,65,Medium,2019-02-03,3,Cheese,Amul,380.01,13.09,4974.3309,61,Refrigerated,2018-12-22,2019-02-21,35,14.05,491.75,Jharkhand,Online,345,16.06,25.36
West Bengal,409.07,33,Small,2022-10-17,4,Yogurt,Palle2patnam,277.38,49.54,13741.4052,27,Frozen,2022-09-26,2022-10-23,196,48.76,9556.96,Delhi,Online,81,40.14,156.37
Chandigarh,745.78,12,Medium,2022-07-02,4,Yogurt,Amul,728.88,52.82,38499.4416,23,Refrigerated,2022-06-21,2022-07-14,507,50.13,25415.91,Rajasthan,Retail,221,20.13,80.89
Maharashtra,118.88,97,Large,2022-04-15,8,Buttermilk,Amul,770.59,74.2,57177.778000000006,14,Refrigerated,2022-04-01,2022-04-15,555,71.35,39599.25,Madhya Pradesh,Wholesale,215,88.27,169.1
Karnataka,846.39,26,Large,2020-04-19,8,Buttermilk,Sudha,952.18,17.05,16234.669,11,Refrigerated,2020-04-04,2020-04-15,60,19.62,1177.2,Jharkhand,Retail,892,70.0,154.83
Haryana,666.36,40,Medium,2020-02-02,2,Butter,Warana,674.95,71.27,48103.6865,36,Frozen,2020-01-15,2020-02-20,238,67.3,16017.4,Rajasthan,Wholesale,436,34.35,107.93
Delhi,835.42,70,Small,2022-11-18,7,Lassi,Mother Dairy,911.26,55.57,50638.7182,13,Refrigerated,2022-10-31,2022-11-13,93,56.94,5295.42,Chandigarh,Retail,818,13.72,140.52
Haryana,943.29,10,Small,2019-02-07,8,Buttermilk,Raj,429.74,35.66,15324.5284,10,Refrigerated,2018-12-17,2018-12-27,204,36.45,7435.8,Jharkhand,Wholesale,225,79.92,31.78
Karnataka,110.04,79,Small,2021-10-18,1,Milk,Raj,281.49,79.97,22510.7553,22,Tetra Pack,2021-08-22,2021-09-13,179,80.67,14439.93,Kerala,Retail,102,80.09,107.59
Tamil Nadu,852.3,12,Large,2019-12-10,6,Curd,Amul,828.85,67.29,55773.31650000001,7,Refrigerated,2019-11-23,2019-11-30,437,67.4,29453.8,Uttar Pradesh,Online,391,76.58,85.51
Uttar Pradesh,864.48,49,Large,2021-07-15,7,Lassi,Mother Dairy,818.1,85.85,70233.885,18,Refrigerated,2021-06-28,2021-07-16,54,90.28,4875.12,Madhya Pradesh,Online,764,66.1,85.41
Rajasthan,90.12,21,Medium,2019-05-23,6,Curd,Amul,607.19,13.13,7972.404700000001,6,Refrigerated,2019-05-07,2019-05-13,522,12.28,6410.16,Chandigarh,Wholesale,85,62.43,85.3
Bihar,930.28,20,Large,2019-01-13,5,Ice Cream,Dodla Dairy,640.53,65.31,41833.0143,26,Frozen,2018-11-15,2018-12-11,2,66.26,132.52,Karnataka,Retail,638,66.21,184.36
Tamil Nadu,761.69,99,Medium,2020-03-10,3,Cheese,Dynamix Dairies,125.26,61.69,7727.2894,25,Frozen,2020-02-14,2020-03-10,56,58.05,3250.8,Chandigarh,Online,69,18.51,150.17
Delhi,564.24,64,Medium,2019-07-21,8,Buttermilk,Sudha,203.92,20.84,4249.6928,10,Refrigerated,2019-06-19,2019-06-29,4,21.28,85.12,Tamil Nadu,Wholesale,199,47.99,179.15
Delhi,279.53,56,Small,2021-11-25,5,Ice Cream,Dodla Dairy,884.91,55.21,48855.8811,22,Frozen,2021-10-16,2021-11-07,174,51.61,8980.14,Gujarat,Retail,710,69.41,83.87
Bihar,104.84,47,Large,2020-04-08,8,Buttermilk,Mother Dairy,269.54,31.02,8361.1308,9,Refrigerated,2020-03-20,2020-03-29,211,26.41,5572.51,Delhi,Retail,58,86.82,127.37
Chandigarh,902.85,85,Large,2020-05-08,1,Milk,Raj,611.84,93.52,57219.2768,26,Tetra Pack,2020-03-20,2020-04-15,92,94.17,8663.64,Karnataka,Retail,519,75.46,182.39
Chandigarh,922.94,98,Large,2019-06-28,3,Cheese,Passion Cheese,388.05,34.33,13321.7565,65,Refrigerated,2019-05-05,2019-07-09,39,36.04,1405.56,Haryana,Wholesale,349,97.78,195.97
Rajasthan,613.54,53,Medium,2020-03-09,8,Buttermilk,Raj,272.42,20.16,5491.9872000000005,10,Refrigerated,2020-02-05,2020-02-15,86,16.05,1380.3,Gujarat,Wholesale,186,80.1,177.03
West Bengal,317.27,20,Medium,2021-10-09,6,Curd,Raj,161.32,90.12,14538.1584,6,Refrigerated,2021-08-31,2021-09-06,22,85.34,1877.48,Kerala,Online,139,31.8,53.64
Uttar Pradesh,540.51,29,Small,2019-06-28,8,Buttermilk,Raj,875.44,59.68,52246.2592,14,Refrigerated,2019-05-03,2019-05-17,538,57.94,31171.72,Telangana,Wholesale,337,24.68,132.55
Bihar,581.95,98,Small,2020-04-01,8,Buttermilk,Amul,710.77,99.99,71069.89229999999,13,Refrigerated,2020-03-19,2020-04-01,37,95.89,3547.93,Kerala,Online,673,77.12,106.01
Delhi,142.96,86,Large,2020-11-27,3,Cheese,Amul,109.51,24.2,2650.142,73,Frozen,2020-11-16,2021-01-28,58,22.21,1288.18,Tamil Nadu,Wholesale,51,54.25,78.31
Jharkhand,840.25,79,Large,2022-08-05,7,Lassi,Sudha,466.88,81.94,38256.1472,12,Refrigerated,2022-08-03,2022-08-15,113,81.49,9208.37,Delhi,Wholesale,353,53.78,36.59
Gujarat,420.29,73,Medium,2021-02-27,4,Yogurt,Mother Dairy,663.57,43.46,28838.752200000003,21,Refrigerated,2021-01-08,2021-01-29,626,41.14,25753.64,Gujarat,Retail,37,15.87,111.71
Telangana,145.92,39,Small,2020-02-13,3,Cheese,Dynamix Dairies,667.5,11.13,7429.275000000001,40,Refrigerated,2019-12-17,2020-01-26,661,14.95,9881.95,Telangana,Wholesale,6,93.25,197.07
Uttar Pradesh,236.86,16,Small,2020-05-10,5,Ice Cream,Mother Dairy,148.7,42.22,6278.114,26,Frozen,2020-03-13,2020-04-08,135,45.24,6107.4,Chandigarh,Online,13,41.16,179.77
Uttar Pradesh,386.7,44,Medium,2022-04-21,9,Paneer,Raj,384.85,93.91,36141.2635,11,Refrigerated,2022-03-22,2022-04-02,85,97.35,8274.75,Karnataka,Retail,299,62.04,116.21
